TipoTumor,Farmaco,Resultados
Gastrointestinal Stromal Tumor (GIST),IPILIMUMAB,9
Gastrointestinal Stromal Tumor (GIST),PAZOPANIB,36
Gastrointestinal Stromal Tumor (GIST),CRIZOTINIB,10
Gastrointestinal Stromal Tumor (GIST),TRABECTEDINA,12
Gastrointestinal Stromal Tumor (GIST),AVELumab,0
Gastrointestinal Stromal Tumor (GIST),LORLATINIB,0
Gastrointestinal Stromal Tumor (GIST),ENZALUTAMIDA,0
Gastrointestinal Stromal Tumor (GIST),AFATINIB,3
Gastrointestinal Stromal Tumor (GIST),CAPECITABINA,4
Gastrointestinal Stromal Tumor (GIST),CETUXIMAB,10
Gastrointestinal Stromal Tumor (GIST),PACLitaxel ALBUMINA,0
Gastrointestinal Stromal Tumor (GIST),AFLIBERCEPT,0
Gastrointestinal Stromal Tumor (GIST),SACITUZUMAB GOVITECAN,0
Gastrointestinal Stromal Tumor (GIST),eriBULina,0
Gastrointestinal Stromal Tumor (GIST),PACLITAXEL,14
Gastrointestinal Stromal Tumor (GIST),CLORURO DE SODIO,0
Gastrointestinal Stromal Tumor (GIST),ENCORAFENIB,0
Gastrointestinal Stromal Tumor (GIST),EVEROLIMUS,20
Gastrointestinal Stromal Tumor (GIST),VINORELBINA,2
Gastrointestinal Stromal Tumor (GIST),PEMETREXED,2
Gastrointestinal Stromal Tumor (GIST),BINIMETINIB,6
Gastrointestinal Stromal Tumor (GIST),CARBOPLATINO,5
Gastrointestinal Stromal Tumor (GIST),ABIRATERONA,0
Gastrointestinal Stromal Tumor (GIST),DENOSUMAB,3
Gastrointestinal Stromal Tumor (GIST),EVEROLIMUS,20
Gastrointestinal Stromal Tumor (GIST),FILGRASTIM,0
Gastrointestinal Stromal Tumor (GIST),FLUOROURACILO,20
Gastrointestinal Stromal Tumor (GIST),DOXORUBICINA,61
Gastrointestinal Stromal Tumor (GIST),GEMCITABINA,34
Gastrointestinal Stromal Tumor (GIST),REGORAFENIB,247
Gastrointestinal Stromal Tumor (GIST),SELPERCATINIB,1
Gastrointestinal Stromal Tumor (GIST),REMDESIVIR,0
Gastrointestinal Stromal Tumor (GIST),ENOXAPARINA,0
Gastrointestinal Stromal Tumor (GIST),IRINOTECAN,8
Gastrointestinal Stromal Tumor (GIST),NINTEDANIB,3
Gastrointestinal Stromal Tumor (GIST),PLERIXAFOR,0
Gastrointestinal Stromal Tumor (GIST),ALPELISIB,3
Gastrointestinal Stromal Tumor (GIST),RUCAPARIB,0
Gastrointestinal Stromal Tumor (GIST),ALBÚMINA,0
Gastrointestinal Stromal Tumor (GIST),TEMOZOLOMIDA,11
Gastrointestinal Stromal Tumor (GIST),OXALIPLATINO,6
Gastrointestinal Stromal Tumor (GIST),SOTORASIB,0
Colorectal Adenocarcinoma,PEMBROlizumab,62
Colorectal Adenocarcinoma,OSIMERTINIB,4
Colorectal Adenocarcinoma,NIVOlumab,31
Colorectal Adenocarcinoma,ABEMACICLIB,1
Colorectal Adenocarcinoma,EMTANSINA TRASTUZUMAB,0
Colorectal Adenocarcinoma,PERTuzumab,2
Colorectal Adenocarcinoma,PANItumumab,102
Colorectal Adenocarcinoma,ALECTINIB,3
Colorectal Adenocarcinoma,DABRAFENIB,7
Colorectal Adenocarcinoma,NIRAPARIB,1
Colorectal Adenocarcinoma,TRASTuzumab,37
Colorectal Adenocarcinoma,CABOZANTINIB,7
Colorectal Adenocarcinoma,DERUXTECAN TRASTUZUMAB,1
Colorectal Adenocarcinoma,RAMUCIRUMAB,11
Colorectal Adenocarcinoma,ATEZOlizumab,9
Colorectal Adenocarcinoma,BEVACIZUMAB,386
Colorectal Adenocarcinoma,OLAPARIB,5
Colorectal Adenocarcinoma,TRAMETINIB,11
Colorectal Adenocarcinoma,RIBOCICLIB,1
Colorectal Adenocarcinoma,DURVALUMAB,8
Colorectal Adenocarcinoma,LENVATINIB,5
Colorectal Adenocarcinoma,PALBOCICLIB,0
Colorectal Adenocarcinoma,TRIFLURIDINA TIPIRACILO,31
Colorectal Adenocarcinoma,IPILIMUMAB,13
Colorectal Adenocarcinoma,PAZOPANIB,5
Colorectal Adenocarcinoma,CRIZOTINIB,9
Colorectal Adenocarcinoma,TRABECTEDINA,0
Colorectal Adenocarcinoma,AVELumab,3
Colorectal Adenocarcinoma,LORLATINIB,0
Colorectal Adenocarcinoma,ENZALUTAMIDA,0
Colorectal Adenocarcinoma,AFATINIB,6
Colorectal Adenocarcinoma,CAPECITABINA,363
Colorectal Adenocarcinoma,CETUXIMAB,296
Colorectal Adenocarcinoma,PACLitaxel ALBUMINA,0
Colorectal Adenocarcinoma,AFLIBERCEPT,14
Colorectal Adenocarcinoma,SACITUZUMAB GOVITECAN,2
Colorectal Adenocarcinoma,eriBULina,0
Colorectal Adenocarcinoma,PACLITAXEL,81
Colorectal Adenocarcinoma,CLORURO DE SODIO,0
Colorectal Adenocarcinoma,ENCORAFENIB,3
Colorectal Adenocarcinoma,EVEROLIMUS,13
Colorectal Adenocarcinoma,VINORELBINA,5
Colorectal Adenocarcinoma,PEMETREXED,18
Colorectal Adenocarcinoma,BINIMETINIB,2
Colorectal Adenocarcinoma,CARBOPLATINO,52
Colorectal Adenocarcinoma,ABIRATERONA,0
Colorectal Adenocarcinoma,DENOSUMAB,1
Colorectal Adenocarcinoma,EVEROLIMUS,13
Colorectal Adenocarcinoma,FILGRASTIM,3
Colorectal Adenocarcinoma,FLUOROURACILO,1937
Colorectal Adenocarcinoma,DOXORUBICINA,203
Colorectal Adenocarcinoma,GEMCITABINA,79
Colorectal Adenocarcinoma,REGORAFENIB,56
Colorectal Adenocarcinoma,SELPERCATINIB,3
Colorectal Adenocarcinoma,REMDESIVIR,0
Colorectal Adenocarcinoma,ENOXAPARINA,0
Colorectal Adenocarcinoma,IRINOTECAN,569
Colorectal Adenocarcinoma,NINTEDANIB,10
Colorectal Adenocarcinoma,PLERIXAFOR,2
Colorectal Adenocarcinoma,ALPELISIB,0
Colorectal Adenocarcinoma,RUCAPARIB,0
Colorectal Adenocarcinoma,ALBÚMINA,0
Colorectal Adenocarcinoma,TEMOZOLOMIDA,9
Colorectal Adenocarcinoma,OXALIPLATINO,834
Colorectal Adenocarcinoma,SOTORASIB,7
Pancreatic Adenocarcinoma,PEMBROlizumab,82
Pancreatic Adenocarcinoma,OSIMERTINIB,4
Pancreatic Adenocarcinoma,NIVOlumab,79
Pancreatic Adenocarcinoma,ABEMACICLIB,4
Pancreatic Adenocarcinoma,EMTANSINA TRASTUZUMAB,0
Pancreatic Adenocarcinoma,PERTuzumab,6
Pancreatic Adenocarcinoma,PANItumumab,12
Pancreatic Adenocarcinoma,ALECTINIB,6
Pancreatic Adenocarcinoma,DABRAFENIB,8
Pancreatic Adenocarcinoma,NIRAPARIB,4
Pancreatic Adenocarcinoma,TRASTuzumab,50
Pancreatic Adenocarcinoma,CABOZANTINIB,20
Pancreatic Adenocarcinoma,DERUXTECAN TRASTUZUMAB,1
Pancreatic Adenocarcinoma,RAMUCIRUMAB,22
Pancreatic Adenocarcinoma,ATEZOlizumab,39
Pancreatic Adenocarcinoma,BEVACIZUMAB,144
Pancreatic Adenocarcinoma,OLAPARIB,85
Pancreatic Adenocarcinoma,TRAMETINIB,67
Pancreatic Adenocarcinoma,RIBOCICLIB,1
Pancreatic Adenocarcinoma,DURVALUMAB,15
Pancreatic Adenocarcinoma,LENVATINIB,88
Pancreatic Adenocarcinoma,PALBOCICLIB,18
Pancreatic Adenocarcinoma,TRIFLURIDINA TIPIRACILO,1
Pancreatic Adenocarcinoma,IPILIMUMAB,24
Pancreatic Adenocarcinoma,PAZOPANIB,16
Pancreatic Adenocarcinoma,CRIZOTINIB,17
Pancreatic Adenocarcinoma,TRABECTEDINA,5
Pancreatic Adenocarcinoma,AVELumab,4
Pancreatic Adenocarcinoma,LORLATINIB,4
Pancreatic Adenocarcinoma,ENZALUTAMIDA,0
Pancreatic Adenocarcinoma,AFATINIB,16
Pancreatic Adenocarcinoma,CAPECITABINA,333
Pancreatic Adenocarcinoma,CETUXIMAB,95
Pancreatic Adenocarcinoma,PACLitaxel ALBUMINA,0
Pancreatic Adenocarcinoma,AFLIBERCEPT,3
Pancreatic Adenocarcinoma,SACITUZUMAB GOVITECAN,2
Pancreatic Adenocarcinoma,eriBULina,0
Pancreatic Adenocarcinoma,PACLITAXEL,973
Pancreatic Adenocarcinoma,CLORURO DE SODIO,0
Pancreatic Adenocarcinoma,ENCORAFENIB,1
Pancreatic Adenocarcinoma,EVEROLIMUS,87
Pancreatic Adenocarcinoma,VINORELBINA,10
Pancreatic Adenocarcinoma,PEMETREXED,13
Pancreatic Adenocarcinoma,BINIMETINIB,2
Pancreatic Adenocarcinoma,CARBOPLATINO,98
Pancreatic Adenocarcinoma,ABIRATERONA,0
Pancreatic Adenocarcinoma,DENOSUMAB,2
Pancreatic Adenocarcinoma,EVEROLIMUS,87
Pancreatic Adenocarcinoma,FILGRASTIM,6
Pancreatic Adenocarcinoma,FLUOROURACILO,2178
Pancreatic Adenocarcinoma,DOXORUBICINA,371
Pancreatic Adenocarcinoma,GEMCITABINA,3920
Pancreatic Adenocarcinoma,REGORAFENIB,21
Pancreatic Adenocarcinoma,SELPERCATINIB,4
Pancreatic Adenocarcinoma,REMDESIVIR,0
Pancreatic Adenocarcinoma,ENOXAPARINA,0
Pancreatic Adenocarcinoma,IRINOTECAN,745
Pancreatic Adenocarcinoma,NINTEDANIB,10
Pancreatic Adenocarcinoma,PLERIXAFOR,8
Pancreatic Adenocarcinoma,ALPELISIB,3
Pancreatic Adenocarcinoma,RUCAPARIB,6
Pancreatic Adenocarcinoma,ALBÚMINA,0
Pancreatic Adenocarcinoma,TEMOZOLOMIDA,35
Pancreatic Adenocarcinoma,OXALIPLATINO,795
Pancreatic Adenocarcinoma,SOTORASIB,16
Esophageal Squamous Cell Carcinoma,PEMBROlizumab,90
Esophageal Squamous Cell Carcinoma,OSIMERTINIB,0
Esophageal Squamous Cell Carcinoma,NIVOlumab,109
Esophageal Squamous Cell Carcinoma,ABEMACICLIB,0
Esophageal Squamous Cell Carcinoma,EMTANSINA TRASTUZUMAB,0
Esophageal Squamous Cell Carcinoma,PERTuzumab,2
Esophageal Squamous Cell Carcinoma,PANItumumab,8
Esophageal Squamous Cell Carcinoma,ALECTINIB,0
Esophageal Squamous Cell Carcinoma,DABRAFENIB,0
Esophageal Squamous Cell Carcinoma,NIRAPARIB,3
Esophageal Squamous Cell Carcinoma,TRASTuzumab,33
Esophageal Squamous Cell Carcinoma,CABOZANTINIB,1
Esophageal Squamous Cell Carcinoma,DERUXTECAN TRASTUZUMAB,1
Esophageal Squamous Cell Carcinoma,RAMUCIRUMAB,7
Esophageal Squamous Cell Carcinoma,ATEZOlizumab,4
Esophageal Squamous Cell Carcinoma,BEVACIZUMAB,16
Esophageal Squamous Cell Carcinoma,OLAPARIB,7
Esophageal Squamous Cell Carcinoma,TRAMETINIB,3
Esophageal Squamous Cell Carcinoma,RIBOCICLIB,1
Esophageal Squamous Cell Carcinoma,DURVALUMAB,7
Esophageal Squamous Cell Carcinoma,LENVATINIB,1
Esophageal Squamous Cell Carcinoma,PALBOCICLIB,6
Esophageal Squamous Cell Carcinoma,TRIFLURIDINA TIPIRACILO,3
Esophageal Squamous Cell Carcinoma,IPILIMUMAB,22
Esophageal Squamous Cell Carcinoma,PAZOPANIB,0
Esophageal Squamous Cell Carcinoma,CRIZOTINIB,3
Esophageal Squamous Cell Carcinoma,TRABECTEDINA,0
Esophageal Squamous Cell Carcinoma,AVELumab,1
Esophageal Squamous Cell Carcinoma,LORLATINIB,0
Esophageal Squamous Cell Carcinoma,ENZALUTAMIDA,0
Esophageal Squamous Cell Carcinoma,AFATINIB,9
Esophageal Squamous Cell Carcinoma,CAPECITABINA,52
Esophageal Squamous Cell Carcinoma,CETUXIMAB,67
Esophageal Squamous Cell Carcinoma,PACLitaxel ALBUMINA,0
Esophageal Squamous Cell Carcinoma,AFLIBERCEPT,0
Esophageal Squamous Cell Carcinoma,SACITUZUMAB GOVITECAN,0
Esophageal Squamous Cell Carcinoma,eriBULina,0
Esophageal Squamous Cell Carcinoma,PACLITAXEL,478
Esophageal Squamous Cell Carcinoma,CLORURO DE SODIO,0
Esophageal Squamous Cell Carcinoma,ENCORAFENIB,0
Esophageal Squamous Cell Carcinoma,EVEROLIMUS,7
Esophageal Squamous Cell Carcinoma,VINORELBINA,29
Esophageal Squamous Cell Carcinoma,PEMETREXED,8
Esophageal Squamous Cell Carcinoma,BINIMETINIB,0
Esophageal Squamous Cell Carcinoma,CARBOPLATINO,192
Esophageal Squamous Cell Carcinoma,ABIRATERONA,0
Esophageal Squamous Cell Carcinoma,DENOSUMAB,0
Esophageal Squamous Cell Carcinoma,EVEROLIMUS,7
Esophageal Squamous Cell Carcinoma,FILGRASTIM,7
Esophageal Squamous Cell Carcinoma,FLUOROURACILO,1623
Esophageal Squamous Cell Carcinoma,DOXORUBICINA,114
Esophageal Squamous Cell Carcinoma,GEMCITABINA,30
Esophageal Squamous Cell Carcinoma,REGORAFENIB,0
Esophageal Squamous Cell Carcinoma,SELPERCATINIB,0
Esophageal Squamous Cell Carcinoma,REMDESIVIR,0
Esophageal Squamous Cell Carcinoma,ENOXAPARINA,0
Esophageal Squamous Cell Carcinoma,IRINOTECAN,86
Esophageal Squamous Cell Carcinoma,NINTEDANIB,0
Esophageal Squamous Cell Carcinoma,PLERIXAFOR,0
Esophageal Squamous Cell Carcinoma,ALPELISIB,2
Esophageal Squamous Cell Carcinoma,RUCAPARIB,1
Esophageal Squamous Cell Carcinoma,ALBÚMINA,0
Esophageal Squamous Cell Carcinoma,TEMOZOLOMIDA,4
Esophageal Squamous Cell Carcinoma,OXALIPLATINO,66
Esophageal Squamous Cell Carcinoma,SOTORASIB,0
Esophageal Adenocarcinoma,PEMBROlizumab,96
Esophageal Adenocarcinoma,OSIMERTINIB,1
Esophageal Adenocarcinoma,NIVOlumab,85
Esophageal Adenocarcinoma,ABEMACICLIB,1
Esophageal Adenocarcinoma,EMTANSINA TRASTUZUMAB,0
Esophageal Adenocarcinoma,PERTuzumab,13
Esophageal Adenocarcinoma,PANItumumab,15
Esophageal Adenocarcinoma,ALECTINIB,2
Esophageal Adenocarcinoma,DABRAFENIB,0
Esophageal Adenocarcinoma,NIRAPARIB,0
Esophageal Adenocarcinoma,TRASTuzumab,209
Esophageal Adenocarcinoma,CABOZANTINIB,4
Esophageal Adenocarcinoma,DERUXTECAN TRASTUZUMAB,12
Esophageal Adenocarcinoma,RAMUCIRUMAB,89
Esophageal Adenocarcinoma,ATEZOlizumab,26
Esophageal Adenocarcinoma,BEVACIZUMAB,61
Esophageal Adenocarcinoma,OLAPARIB,1
Esophageal Adenocarcinoma,TRAMETINIB,2
Esophageal Adenocarcinoma,RIBOCICLIB,0
Esophageal Adenocarcinoma,DURVALUMAB,15
Esophageal Adenocarcinoma,LENVATINIB,5
Esophageal Adenocarcinoma,PALBOCICLIB,4
Esophageal Adenocarcinoma,TRIFLURIDINA TIPIRACILO,5
Esophageal Adenocarcinoma,IPILIMUMAB,19
Esophageal Adenocarcinoma,PAZOPANIB,2
Esophageal Adenocarcinoma,CRIZOTINIB,10
Esophageal Adenocarcinoma,TRABECTEDINA,0
Esophageal Adenocarcinoma,AVELumab,7
Esophageal Adenocarcinoma,LORLATINIB,0
Esophageal Adenocarcinoma,ENZALUTAMIDA,0
Esophageal Adenocarcinoma,AFATINIB,4
Esophageal Adenocarcinoma,CAPECITABINA,184
Esophageal Adenocarcinoma,CETUXIMAB,51
Esophageal Adenocarcinoma,PACLitaxel ALBUMINA,0
Esophageal Adenocarcinoma,AFLIBERCEPT,1
Esophageal Adenocarcinoma,SACITUZUMAB GOVITECAN,2
Esophageal Adenocarcinoma,eriBULina,0
Esophageal Adenocarcinoma,PACLITAXEL,343
Esophageal Adenocarcinoma,CLORURO DE SODIO,0
Esophageal Adenocarcinoma,ENCORAFENIB,0
Esophageal Adenocarcinoma,EVEROLIMUS,11
Esophageal Adenocarcinoma,VINORELBINA,19
Esophageal Adenocarcinoma,PEMETREXED,13
Esophageal Adenocarcinoma,BINIMETINIB,0
Esophageal Adenocarcinoma,CARBOPLATINO,181
Esophageal Adenocarcinoma,ABIRATERONA,0
Esophageal Adenocarcinoma,DENOSUMAB,0
Esophageal Adenocarcinoma,EVEROLIMUS,11
Esophageal Adenocarcinoma,FILGRASTIM,2
Esophageal Adenocarcinoma,FLUOROURACILO,981
Esophageal Adenocarcinoma,DOXORUBICINA,169
Esophageal Adenocarcinoma,GEMCITABINA,46
Esophageal Adenocarcinoma,REGORAFENIB,5
Esophageal Adenocarcinoma,SELPERCATINIB,0
Esophageal Adenocarcinoma,REMDESIVIR,0
Esophageal Adenocarcinoma,ENOXAPARINA,0
Esophageal Adenocarcinoma,IRINOTECAN,143
Esophageal Adenocarcinoma,NINTEDANIB,1
Esophageal Adenocarcinoma,PLERIXAFOR,0
Esophageal Adenocarcinoma,ALPELISIB,0
Esophageal Adenocarcinoma,RUCAPARIB,1
Esophageal Adenocarcinoma,ALBÚMINA,0
Esophageal Adenocarcinoma,TEMOZOLOMIDA,4
Esophageal Adenocarcinoma,OXALIPLATINO,261
Esophageal Adenocarcinoma,SOTORASIB,0
Small Intestine Adenocarcinoma,PEMBROlizumab,7
Small Intestine Adenocarcinoma,OSIMERTINIB,0
Small Intestine Adenocarcinoma,NIVOlumab,3
Small Intestine Adenocarcinoma,ABEMACICLIB,0
Small Intestine Adenocarcinoma,EMTANSINA TRASTUZUMAB,0
Small Intestine Adenocarcinoma,PERTuzumab,1
Small Intestine Adenocarcinoma,PANItumumab,2
Small Intestine Adenocarcinoma,ALECTINIB,1
Small Intestine Adenocarcinoma,DABRAFENIB,2
Small Intestine Adenocarcinoma,NIRAPARIB,0
Small Intestine Adenocarcinoma,TRASTuzumab,3
Small Intestine Adenocarcinoma,CABOZANTINIB,1
Small Intestine Adenocarcinoma,DERUXTECAN TRASTUZUMAB,1
Small Intestine Adenocarcinoma,RAMUCIRUMAB,1
Small Intestine Adenocarcinoma,ATEZOlizumab,1
Small Intestine Adenocarcinoma,BEVACIZUMAB,15
Small Intestine Adenocarcinoma,OLAPARIB,0
Small Intestine Adenocarcinoma,TRAMETINIB,3
Small Intestine Adenocarcinoma,RIBOCICLIB,0
Small Intestine Adenocarcinoma,DURVALUMAB,0
Small Intestine Adenocarcinoma,LENVATINIB,1
Small Intestine Adenocarcinoma,PALBOCICLIB,0
Small Intestine Adenocarcinoma,TRIFLURIDINA TIPIRACILO,0
Small Intestine Adenocarcinoma,IPILIMUMAB,1
Small Intestine Adenocarcinoma,PAZOPANIB,0
Small Intestine Adenocarcinoma,CRIZOTINIB,1
Small Intestine Adenocarcinoma,TRABECTEDINA,0
Small Intestine Adenocarcinoma,AVELumab,1
Small Intestine Adenocarcinoma,LORLATINIB,0
Small Intestine Adenocarcinoma,ENZALUTAMIDA,0
Small Intestine Adenocarcinoma,AFATINIB,0
Small Intestine Adenocarcinoma,CAPECITABINA,40
Small Intestine Adenocarcinoma,CETUXIMAB,8
Small Intestine Adenocarcinoma,PACLitaxel ALBUMINA,0
Small Intestine Adenocarcinoma,AFLIBERCEPT,1
Small Intestine Adenocarcinoma,SACITUZUMAB GOVITECAN,0
Small Intestine Adenocarcinoma,eriBULina,0
Small Intestine Adenocarcinoma,PACLITAXEL,20
Small Intestine Adenocarcinoma,CLORURO DE SODIO,0
Small Intestine Adenocarcinoma,ENCORAFENIB,0
Small Intestine Adenocarcinoma,EVEROLIMUS,5
Small Intestine Adenocarcinoma,VINORELBINA,0
Small Intestine Adenocarcinoma,PEMETREXED,1
Small Intestine Adenocarcinoma,BINIMETINIB,0
Small Intestine Adenocarcinoma,CARBOPLATINO,10
Small Intestine Adenocarcinoma,ABIRATERONA,0
Small Intestine Adenocarcinoma,DENOSUMAB,0
Small Intestine Adenocarcinoma,EVEROLIMUS,5
Small Intestine Adenocarcinoma,FILGRASTIM,0
Small Intestine Adenocarcinoma,FLUOROURACILO,166
Small Intestine Adenocarcinoma,DOXORUBICINA,34
Small Intestine Adenocarcinoma,GEMCITABINA,54
Small Intestine Adenocarcinoma,REGORAFENIB,3
Small Intestine Adenocarcinoma,SELPERCATINIB,2
Small Intestine Adenocarcinoma,REMDESIVIR,0
Small Intestine Adenocarcinoma,ENOXAPARINA,0
Small Intestine Adenocarcinoma,IRINOTECAN,38
Small Intestine Adenocarcinoma,NINTEDANIB,1
Small Intestine Adenocarcinoma,PLERIXAFOR,0
Small Intestine Adenocarcinoma,ALPELISIB,0
Small Intestine Adenocarcinoma,RUCAPARIB,0
Small Intestine Adenocarcinoma,ALBÚMINA,0
Small Intestine Adenocarcinoma,TEMOZOLOMIDA,1
Small Intestine Adenocarcinoma,OXALIPLATINO,47
Small Intestine Adenocarcinoma,SOTORASIB,0
Gastrointestinal Carcinoid Tumor,PEMBROlizumab,0
Gastrointestinal Carcinoid Tumor,OSIMERTINIB,0
Gastrointestinal Carcinoid Tumor,NIVOlumab,2
Gastrointestinal Carcinoid Tumor,ABEMACICLIB,0
Gastrointestinal Carcinoid Tumor,EMTANSINA TRASTUZUMAB,0
Gastrointestinal Carcinoid Tumor,PERTuzumab,0
Gastrointestinal Carcinoid Tumor,PANItumumab,0
Gastrointestinal Carcinoid Tumor,ALECTINIB,0
Gastrointestinal Carcinoid Tumor,DABRAFENIB,0
Gastrointestinal Carcinoid Tumor,NIRAPARIB,0
Gastrointestinal Carcinoid Tumor,TRASTuzumab,0
Gastrointestinal Carcinoid Tumor,CABOZANTINIB,1
Gastrointestinal Carcinoid Tumor,DERUXTECAN TRASTUZUMAB,0
Gastrointestinal Carcinoid Tumor,RAMUCIRUMAB,0
Gastrointestinal Carcinoid Tumor,ATEZOlizumab,0
Gastrointestinal Carcinoid Tumor,BEVACIZUMAB,9
Gastrointestinal Carcinoid Tumor,OLAPARIB,0
Gastrointestinal Carcinoid Tumor,TRAMETINIB,0
Gastrointestinal Carcinoid Tumor,RIBOCICLIB,0
Gastrointestinal Carcinoid Tumor,DURVALUMAB,1
Gastrointestinal Carcinoid Tumor,LENVATINIB,0
Gastrointestinal Carcinoid Tumor,PALBOCICLIB,0
Gastrointestinal Carcinoid Tumor,TRIFLURIDINA TIPIRACILO,0
Gastrointestinal Carcinoid Tumor,IPILIMUMAB,2
Gastrointestinal Carcinoid Tumor,PAZOPANIB,1
Gastrointestinal Carcinoid Tumor,CRIZOTINIB,0
Gastrointestinal Carcinoid Tumor,TRABECTEDINA,0
Gastrointestinal Carcinoid Tumor,AVELumab,0
Gastrointestinal Carcinoid Tumor,LORLATINIB,0
Gastrointestinal Carcinoid Tumor,ENZALUTAMIDA,0
Gastrointestinal Carcinoid Tumor,AFATINIB,0
Gastrointestinal Carcinoid Tumor,CAPECITABINA,10
