farmaco,term,count
pembrolizumab,MYELOSUPPRESSION,494
pembrolizumab,PROTEINURIA,492
pembrolizumab,IMMUNE-MEDIATED ADVERSE REACTION,481
pembrolizumab,URINARY TRACT INFECTION,479
pembrolizumab,CARDIAC FAILURE,476
pembrolizumab,NEUTROPHIL COUNT DECREASED,457
pembrolizumab,NO ADVERSE EVENT,456
pembrolizumab,MUSCULAR WEAKNESS,445
pembrolizumab,DYSPHAGIA,425
pembrolizumab,WHITE BLOOD CELL COUNT DECREASED,422
pembrolizumab,CONFUSIONAL STATE,415
pembrolizumab,CONDITION AGGRAVATED,411
pembrolizumab,LIVER DISORDER,404
pembrolizumab,BLOOD CREATININE INCREASED,402
pembrolizumab,TYPE 1 DIABETES MELLITUS,402
pembrolizumab,MYOSITIS,401
pembrolizumab,DIABETES MELLITUS,399
pembrolizumab,HEPATIC ENZYME INCREASED,393
pembrolizumab,TOXICITY TO VARIOUS AGENTS,391
pembrolizumab,INFECTION,389
pembrolizumab,HEPATOTOXICITY,379
pembrolizumab,OEDEMA PERIPHERAL,370
pembrolizumab,LUNG DISORDER,361
pembrolizumab,MUCOSAL INFLAMMATION,356
pembrolizumab,ERYTHEMA,355
pembrolizumab,MYASTHENIA GRAVIS,355
pembrolizumab,ATRIAL FIBRILLATION,353
pembrolizumab,FALL,352
pembrolizumab,GAIT DISTURBANCE,349
osimertinib,DEATH,8491
osimertinib,MALIGNANT NEOPLASM PROGRESSION,2457
osimertinib,DIARRHOEA,1080
osimertinib,DRUG RESISTANCE,873
osimertinib,RASH,623
osimertinib,FATIGUE,575
osimertinib,DECREASED APPETITE,536
osimertinib,OFF LABEL USE,514
osimertinib,DRUG INEFFECTIVE,507
osimertinib,INTERSTITIAL LUNG DISEASE,497
osimertinib,NAUSEA,467
osimertinib,DYSPNOEA,466
osimertinib,METASTASES TO CENTRAL NERVOUS SYSTEM,452
osimertinib,DISEASE PROGRESSION,419
osimertinib,PLEURAL EFFUSION,383
osimertinib,ACQUIRED GENE MUTATION,368
osimertinib,MYELOSUPPRESSION,324
osimertinib,ASTHENIA,311
osimertinib,PNEUMONIA,295
osimertinib,VOMITING,294
osimertinib,WEIGHT DECREASED,285
osimertinib,PNEUMONITIS,272
osimertinib,COUGH,270
osimertinib,PYREXIA,263
osimertinib,DRY SKIN,239
osimertinib,PLATELET COUNT DECREASED,237
osimertinib,PULMONARY EMBOLISM,221
osimertinib,METASTASES TO BONE,219
osimertinib,PAIN,209
osimertinib,HEPATIC FUNCTION ABNORMAL,203
osimertinib,LUNG DISORDER,203
osimertinib,PRURITUS,195
osimertinib,MUSCLE SPASMS,194
osimertinib,MALAISE,191
osimertinib,STOMATITIS,190
osimertinib,METASTASES TO MENINGES,189
osimertinib,CARDIAC FAILURE,182
osimertinib,HEADACHE,181
osimertinib,THROMBOCYTOPENIA,178
osimertinib,ANAEMIA,176
osimertinib,DIZZINESS,175
osimertinib,METASTASES TO LIVER,166
osimertinib,PARONYCHIA,158
osimertinib,ELECTROCARDIOGRAM QT PROLONGED,156
osimertinib,FALL,147
osimertinib,DEHYDRATION,146
osimertinib,RESPIRATORY FAILURE,146
osimertinib,CONSTIPATION,144
osimertinib,THROMBOSIS,143
osimertinib,EGFR GENE MUTATION,138
osimertinib,LUNG NEOPLASM MALIGNANT,136
osimertinib,ALOPECIA,131
osimertinib,CEREBROVASCULAR ACCIDENT,131
osimertinib,NEOPLASM PROGRESSION,126
osimertinib,DEEP VEIN THROMBOSIS,125
osimertinib,CONDITION AGGRAVATED,121
osimertinib,LIVER DISORDER,114
osimertinib,ONYCHOCLASIS,113
osimertinib,DYSPHAGIA,112
osimertinib,ATRIAL FIBRILLATION,111
osimertinib,WHITE BLOOD CELL COUNT DECREASED,111
osimertinib,NAIL DISORDER,110
osimertinib,GENERAL PHYSICAL HEALTH DETERIORATION,107
osimertinib,PAIN IN EXTREMITY,107
osimertinib,BACK PAIN,106
osimertinib,GAIT DISTURBANCE,102
osimertinib,METASTASES TO LUNG,102
osimertinib,PERIPHERAL SWELLING,102
osimertinib,PRODUCT DOSE OMISSION ISSUE,100
osimertinib,ARTHRALGIA,99
osimertinib,TOXICITY TO VARIOUS AGENTS,96
osimertinib,METASTASIS,95
osimertinib,PRODUCT USE ISSUE,95
osimertinib,CHEST PAIN,94
osimertinib,RENAL IMPAIRMENT,93
osimertinib,CARDIAC DISORDER,92
osimertinib,ERYTHEMA,90
osimertinib,PRODUCT USE IN UNAPPROVED INDICATION,89
osimertinib,PULMONARY OEDEMA,88
osimertinib,INSOMNIA,86
osimertinib,EJECTION FRACTION DECREASED,84
osimertinib,SKIN DISORDER,84
osimertinib,PERICARDIAL EFFUSION,82
osimertinib,SEIZURE,81
osimertinib,BLOOD CREATINE PHOSPHOKINASE INCREASED,79
osimertinib,MYALGIA,79
osimertinib,MYOCARDIAL INFARCTION,79
osimertinib,DERMATITIS ACNEIFORM,78
osimertinib,HYPOTENSION,78
osimertinib,URINARY TRACT INFECTION,77
osimertinib,MALIGNANT TRANSFORMATION,76
osimertinib,DRUG-INDUCED LIVER INJURY,75
osimertinib,ABDOMINAL DISCOMFORT,74
osimertinib,CEREBRAL INFARCTION,74
osimertinib,COVID-19,72
osimertinib,HYPONATRAEMIA,72
osimertinib,RENAL FAILURE,72
osimertinib,URTICARIA,72
osimertinib,DRUG INTERACTION,70
osimertinib,HEPATOTOXICITY,70
nivolumab,DEATH,10445
nivolumab,MALIGNANT NEOPLASM PROGRESSION,8918
nivolumab,OFF LABEL USE,4163
nivolumab,DIARRHOEA,4070
nivolumab,INTENTIONAL PRODUCT USE ISSUE,3327
nivolumab,FATIGUE,3287
nivolumab,PYREXIA,3211
nivolumab,RASH,2456
nivolumab,NAUSEA,2433
nivolumab,DYSPNOEA,2387
nivolumab,DECREASED APPETITE,2296
nivolumab,PNEUMONIA,2092
nivolumab,COLITIS,1978
nivolumab,PNEUMONITIS,1924
nivolumab,ASTHENIA,1714
nivolumab,VOMITING,1693
nivolumab,HYPOTHYROIDISM,1634
nivolumab,ACUTE KIDNEY INJURY,1592
nivolumab,WEIGHT DECREASED,1478
nivolumab,ANAEMIA,1473
nivolumab,PRURITUS,1425
nivolumab,DRUG INEFFECTIVE,1402
nivolumab,GENERAL PHYSICAL HEALTH DETERIORATION,1397
nivolumab,PRODUCT USE IN UNAPPROVED INDICATION,1343
nivolumab,INTERSTITIAL LUNG DISEASE,1316
nivolumab,ARTHRALGIA,1286
nivolumab,MALAISE,1286
nivolumab,ADRENAL INSUFFICIENCY,1118
nivolumab,SEPSIS,1117
nivolumab,HEADACHE,1107
nivolumab,PAIN,1067
nivolumab,CONSTIPATION,1060
nivolumab,ADVERSE EVENT,1055
nivolumab,COUGH,1002
nivolumab,PLEURAL EFFUSION,976
nivolumab,BACK PAIN,967
nivolumab,HEPATIC FUNCTION ABNORMAL,961
nivolumab,THROMBOCYTOPENIA,942
nivolumab,DEHYDRATION,883
nivolumab,IMMUNE-MEDIATED ENTEROCOLITIS,876
nivolumab,LIVER DISORDER,818
nivolumab,MYOCARDITIS,818
nivolumab,HYPERTHYROIDISM,785
nivolumab,RESPIRATORY FAILURE,782
nivolumab,HYPOTENSION,781
nivolumab,ABDOMINAL PAIN,777
nivolumab,HEPATITIS,765
nivolumab,HYPONATRAEMIA,752
nivolumab,HYPOPHYSITIS,702
nivolumab,FEBRILE NEUTROPENIA,698
nivolumab,NEUTROPENIA,697
nivolumab,ALANINE AMINOTRANSFERASE INCREASED,689
nivolumab,ASPARTATE AMINOTRANSFERASE INCREASED,689
nivolumab,FALL,681
nivolumab,RENAL FAILURE,681
nivolumab,DIZZINESS,673
nivolumab,PULMONARY EMBOLISM,628
nivolumab,MYALGIA,609
nivolumab,HYPERTENSION,600
nivolumab,STOMATITIS,600
nivolumab,DISEASE PROGRESSION,599
nivolumab,CHILLS,591
nivolumab,MUSCULAR WEAKNESS,589
nivolumab,MYOSITIS,585
nivolumab,LUNG DISORDER,581
nivolumab,DIABETIC KETOACIDOSIS,579
nivolumab,PRODUCT USE ISSUE,575
nivolumab,PLATELET COUNT DECREASED,572
nivolumab,INFUSION RELATED REACTION,571
nivolumab,CARDIAC FAILURE,569
nivolumab,URINARY TRACT INFECTION,567
nivolumab,PEMPHIGOID,563
nivolumab,PRESCRIBED UNDERDOSE,539
nivolumab,ATRIAL FIBRILLATION,535
nivolumab,PAIN IN EXTREMITY,530
nivolumab,CONDITION AGGRAVATED,529
nivolumab,NEUROPATHY PERIPHERAL,527
nivolumab,DIABETES MELLITUS,524
nivolumab,CONFUSIONAL STATE,519
nivolumab,METASTASES TO CENTRAL NERVOUS SYSTEM,512
nivolumab,TYPE 1 DIABETES MELLITUS,511
nivolumab,AUTOIMMUNE DISORDER,501
nivolumab,CHEST PAIN,498
nivolumab,DYSPHAGIA,493
nivolumab,ARTHRITIS,490
nivolumab,OEDEMA PERIPHERAL,475
nivolumab,ERYTHEMA,474
nivolumab,HYPOKALAEMIA,458
nivolumab,HYPERGLYCAEMIA,456
nivolumab,AUTOIMMUNE HEPATITIS,448
nivolumab,THYROIDITIS,448
nivolumab,FULMINANT TYPE 1 DIABETES MELLITUS,447
nivolumab,IMMUNE-MEDIATED HEPATITIS,440
nivolumab,SEIZURE,440
nivolumab,INFECTION,439
nivolumab,BLOOD CREATININE INCREASED,436
nivolumab,RENAL IMPAIRMENT,429
nivolumab,ASCITES,423
nivolumab,SOMNOLENCE,422
nivolumab,TUBULOINTERSTITIAL NEPHRITIS,420
abemaciclib,DIARRHOEA,2948
abemaciclib,FATIGUE,949
abemaciclib,NAUSEA,926
abemaciclib,VOMITING,618
abemaciclib,MALIGNANT NEOPLASM PROGRESSION,597
abemaciclib,DRUG INEFFECTIVE,562
abemaciclib,DEATH,548
abemaciclib,DECREASED APPETITE,470
abemaciclib,WHITE BLOOD CELL COUNT DECREASED,343
abemaciclib,DEHYDRATION,342
abemaciclib,ASTHENIA,341
abemaciclib,NEUTROPENIA,338
abemaciclib,ANAEMIA,313
abemaciclib,DISEASE PROGRESSION,280
abemaciclib,CONSTIPATION,256
abemaciclib,ALOPECIA,248
abemaciclib,WEIGHT DECREASED,248
abemaciclib,ABDOMINAL PAIN,244
abemaciclib,DYSPNOEA,238
abemaciclib,BLOOD CREATININE INCREASED,236
abemaciclib,ABDOMINAL PAIN UPPER,233
abemaciclib,THERAPY CESSATION,226
abemaciclib,HEADACHE,218
abemaciclib,RASH,218
abemaciclib,INTERSTITIAL LUNG DISEASE,217
abemaciclib,MYELOSUPPRESSION,211
abemaciclib,MALAISE,203
abemaciclib,THERAPY INTERRUPTED,201
abemaciclib,DIZZINESS,192
abemaciclib,PLATELET COUNT DECREASED,185
abemaciclib,PAIN,182
abemaciclib,PNEUMONIA,181
abemaciclib,ACUTE KIDNEY INJURY,171
abemaciclib,ARTHRALGIA,160
abemaciclib,PNEUMONITIS,148
abemaciclib,OFF LABEL USE,147
abemaciclib,COUGH,142
abemaciclib,PYREXIA,139
abemaciclib,DRUG INTOLERANCE,138
abemaciclib,COVID-19,135
abemaciclib,PULMONARY EMBOLISM,134
abemaciclib,ABDOMINAL DISCOMFORT,133
abemaciclib,HAEMOGLOBIN DECREASED,130
abemaciclib,PRURITUS,112
abemaciclib,NEUTROPHIL COUNT DECREASED,111
abemaciclib,HEPATIC FUNCTION ABNORMAL,109
abemaciclib,METASTASES TO BONE,109
abemaciclib,THROMBOCYTOPENIA,109
abemaciclib,FEELING ABNORMAL,103
abemaciclib,URINARY TRACT INFECTION,103
abemaciclib,RENAL IMPAIRMENT,102
abemaciclib,HOSPITALISATION,100
abemaciclib,METASTASES TO LIVER,96
abemaciclib,THROMBOSIS,95
abemaciclib,INSOMNIA,94
abemaciclib,PRODUCT DOSE OMISSION ISSUE,94
abemaciclib,ALANINE AMINOTRANSFERASE INCREASED,92
abemaciclib,STOMATITIS,92
abemaciclib,ASPARTATE AMINOTRANSFERASE INCREASED,90
abemaciclib,RED BLOOD CELL COUNT DECREASED,88
abemaciclib,PAIN IN EXTREMITY,83
abemaciclib,BACK PAIN,81
abemaciclib,ILLNESS,81
abemaciclib,RENAL FAILURE,81
abemaciclib,HOT FLUSH,80
abemaciclib,FALL,78
abemaciclib,THERAPY CHANGE,78
abemaciclib,PLEURAL EFFUSION,76
abemaciclib,HEPATOTOXICITY,75
abemaciclib,PERIPHERAL SWELLING,73
abemaciclib,MUSCLE SPASMS,72
abemaciclib,HYPOKALAEMIA,71
abemaciclib,TASTE DISORDER,70
abemaciclib,SEPSIS,69
abemaciclib,LIVER DISORDER,68
abemaciclib,GAIT DISTURBANCE,67
abemaciclib,DEEP VEIN THROMBOSIS,66
abemaciclib,FULL BLOOD COUNT DECREASED,66
abemaciclib,BREAST CANCER METASTATIC,65
abemaciclib,DYSPEPSIA,65
abemaciclib,INFECTION,65
abemaciclib,GASTROINTESTINAL DISORDER,62
abemaciclib,BONE PAIN,61
abemaciclib,LEUKOPENIA,61
abemaciclib,MYALGIA,61
abemaciclib,DYSPHAGIA,60
abemaciclib,NEUROPATHY PERIPHERAL,60
abemaciclib,HYPOTENSION,59
abemaciclib,HEPATIC ENZYME INCREASED,56
abemaciclib,TUMOUR MARKER INCREASED,56
abemaciclib,ANXIETY,55
abemaciclib,DRUG INTERACTION,55
abemaciclib,GENERAL PHYSICAL HEALTH DETERIORATION,55
abemaciclib,METASTASES TO LUNG,55
abemaciclib,PANCYTOPENIA,55
abemaciclib,ABDOMINAL DISTENSION,54
abemaciclib,DRY SKIN,54
abemaciclib,DRUG-INDUCED LIVER INJURY,53
abemaciclib,DEPRESSION,52
abemaciclib,HEPATIC FAILURE,52
pertuzumab,DIARRHOEA,3269
pertuzumab,OFF LABEL USE,1681
pertuzumab,FATIGUE,1613
pertuzumab,NAUSEA,1550
pertuzumab,ALOPECIA,1451
pertuzumab,DYSPNOEA,1039
pertuzumab,VOMITING,1015
pertuzumab,DISEASE PROGRESSION,1007
pertuzumab,NEUROPATHY PERIPHERAL,999
pertuzumab,DEATH,983
pertuzumab,PYREXIA,892
pertuzumab,NEUTROPENIA,844
pertuzumab,RASH,805
pertuzumab,MYELOSUPPRESSION,776
pertuzumab,ANAEMIA,718
pertuzumab,ASTHENIA,661
pertuzumab,FEBRILE NEUTROPENIA,658
pertuzumab,HEADACHE,650
pertuzumab,EJECTION FRACTION DECREASED,613
pertuzumab,DECREASED APPETITE,604
pertuzumab,PAIN,564
pertuzumab,PNEUMONIA,545
pertuzumab,WEIGHT DECREASED,489
pertuzumab,CONSTIPATION,488
pertuzumab,MUCOSAL INFLAMMATION,455
pertuzumab,COUGH,454
pertuzumab,METASTASES TO CENTRAL NERVOUS SYSTEM,450
pertuzumab,NO ADVERSE EVENT,449
pertuzumab,DRUG INEFFECTIVE,445
pertuzumab,CHILLS,444
pertuzumab,ABDOMINAL PAIN,424
pertuzumab,PRURITUS,420
pertuzumab,URINARY TRACT INFECTION,418
pertuzumab,MALAISE,411
pertuzumab,BACK PAIN,400
pertuzumab,HAIR COLOUR CHANGES,397
pertuzumab,HAIR TEXTURE ABNORMAL,397
pertuzumab,DIZZINESS,396
pertuzumab,ARTHRALGIA,393
pertuzumab,THROMBOCYTOPENIA,392
pertuzumab,MADAROSIS,388
pertuzumab,STOMATITIS,385
pertuzumab,DEHYDRATION,381
pertuzumab,INFUSION RELATED REACTION,373
pertuzumab,HYPOKALAEMIA,359
pertuzumab,PLATELET COUNT DECREASED,357
pertuzumab,EPISTAXIS,354
pertuzumab,HAIR DISORDER,336
pertuzumab,HYPOTENSION,334
pertuzumab,PARAESTHESIA,329
pertuzumab,POLYNEUROPATHY,325
pertuzumab,CARDIAC FAILURE,323
pertuzumab,MYALGIA,323
pertuzumab,WHITE BLOOD CELL COUNT DECREASED,314
pertuzumab,HYPOAESTHESIA,313
pertuzumab,GENERAL PHYSICAL HEALTH DETERIORATION,305
pertuzumab,INTERSTITIAL LUNG DISEASE,292
pertuzumab,PLEURAL EFFUSION,292
pertuzumab,HYPERTENSION,291
pertuzumab,ACUTE KIDNEY INJURY,276
pertuzumab,CARDIOTOXICITY,276
pertuzumab,PAIN IN EXTREMITY,276
pertuzumab,SEPSIS,260
pertuzumab,ERYTHEMA,259
pertuzumab,CELLULITIS,257
pertuzumab,HYPERSENSITIVITY,257
pertuzumab,ANXIETY,256
pertuzumab,MALIGNANT NEOPLASM PROGRESSION,256
pertuzumab,BONE PAIN,253
pertuzumab,BREAST CANCER METASTATIC,250
pertuzumab,NASOPHARYNGITIS,247
pertuzumab,INSOMNIA,246
pertuzumab,CHEST PAIN,243
pertuzumab,NEUTROPHIL COUNT DECREASED,241
pertuzumab,LEUKOPENIA,239
pertuzumab,CHEST DISCOMFORT,237
pertuzumab,TACHYCARDIA,234
pertuzumab,OEDEMA PERIPHERAL,231
pertuzumab,BREAST CANCER,229
pertuzumab,SEIZURE,227
pertuzumab,DYSGEUSIA,225
pertuzumab,DYSPEPSIA,225
pertuzumab,METASTASES TO BONE,219
pertuzumab,PALMAR-PLANTAR ERYTHRODYSAESTHESIA SYNDROME,219
pertuzumab,ABDOMINAL PAIN UPPER,211
pertuzumab,PNEUMONITIS,205
pertuzumab,PULMONARY EMBOLISM,205
pertuzumab,COVID-19,203
pertuzumab,INFECTION,202
pertuzumab,LOWER RESPIRATORY TRACT INFECTION,200
pertuzumab,MUSCLE SPASMS,199
pertuzumab,PSYCHOLOGICAL TRAUMA,194
pertuzumab,TREMOR,194
pertuzumab,METASTASES TO LIVER,193
pertuzumab,DRY SKIN,191
pertuzumab,LEFT VENTRICULAR DYSFUNCTION,191
pertuzumab,NEOPLASM PROGRESSION,186
pertuzumab,METASTASES TO LUNG,183
pertuzumab,LACRIMATION INCREASED,181
pertuzumab,INTENTIONAL PRODUCT USE ISSUE,178
panitumumab,RASH,1453
panitumumab,DIARRHOEA,1347
panitumumab,DERMATITIS ACNEIFORM,898
panitumumab,DEATH,831
panitumumab,NEUTROPENIA,794
panitumumab,NAUSEA,687
panitumumab,SKIN TOXICITY,671
panitumumab,HYPOMAGNESAEMIA,666
panitumumab,DISEASE PROGRESSION,654
panitumumab,NEUROPATHY PERIPHERAL,549
panitumumab,FATIGUE,546
panitumumab,VOMITING,534
panitumumab,PARONYCHIA,518
panitumumab,STOMATITIS,515
panitumumab,THROMBOCYTOPENIA,484
panitumumab,DECREASED APPETITE,467
panitumumab,OFF LABEL USE,464
panitumumab,COLORECTAL CANCER METASTATIC,441
panitumumab,PYREXIA,441
panitumumab,DRY SKIN,439
panitumumab,ASTHENIA,411
panitumumab,ANAEMIA,406
panitumumab,INTERSTITIAL LUNG DISEASE,333
panitumumab,DYSPNOEA,320
panitumumab,PRURITUS,311
panitumumab,ERYTHEMA,308
panitumumab,DEHYDRATION,301
panitumumab,METASTASES TO LIVER,290
panitumumab,FEBRILE NEUTROPENIA,286
panitumumab,MUCOSAL INFLAMMATION,279
panitumumab,RASH PUSTULAR,258
panitumumab,THERAPY PARTIAL RESPONDER,258
panitumumab,SKIN DISORDER,256
panitumumab,ABDOMINAL PAIN,250
panitumumab,PULMONARY EMBOLISM,248
panitumumab,MALAISE,243
panitumumab,SKIN REACTION,241
panitumumab,NEUTROPHIL COUNT DECREASED,221
panitumumab,COLON CANCER,216
panitumumab,MALIGNANT NEOPLASM PROGRESSION,215
panitumumab,HYPERSENSITIVITY,212
panitumumab,PALMAR-PLANTAR ERYTHRODYSAESTHESIA SYNDROME,209
panitumumab,ACNE,205
panitumumab,GENERAL PHYSICAL HEALTH DETERIORATION,199
panitumumab,HYPOKALAEMIA,194
panitumumab,HYPERTENSION,193
panitumumab,COLORECTAL CANCER,191
panitumumab,SKIN FISSURES,189
panitumumab,LEUKOPENIA,185
panitumumab,CONSTIPATION,181
panitumumab,PNEUMONIA,172
panitumumab,WEIGHT DECREASED,170
panitumumab,POLYNEUROPATHY,164
panitumumab,HYPOCALCAEMIA,163
panitumumab,DRUG INEFFECTIVE,157
panitumumab,NEUROTOXICITY,156
panitumumab,SEPSIS,155
panitumumab,PAIN,153
panitumumab,INFECTION,151
panitumumab,HYPOTENSION,149
panitumumab,ALOPECIA,148
panitumumab,URINARY TRACT INFECTION,143
panitumumab,ACUTE KIDNEY INJURY,142
panitumumab,CONJUNCTIVITIS,138
panitumumab,METASTASES TO LUNG,138
panitumumab,PLATELET COUNT DECREASED,136
panitumumab,WHITE BLOOD CELL COUNT DECREASED,136
panitumumab,INFUSION RELATED REACTION,133
panitumumab,PRODUCT STORAGE ERROR,129
panitumumab,BLOOD MAGNESIUM DECREASED,126
panitumumab,FOLLICULITIS,118
panitumumab,PERIPHERAL SENSORY NEUROPATHY,118
panitumumab,DEEP VEIN THROMBOSIS,116
panitumumab,DERMATITIS,114
panitumumab,SKIN EXFOLIATION,112
panitumumab,BACK PAIN,111
panitumumab,CHILLS,111
panitumumab,CONDITION AGGRAVATED,111
panitumumab,INTESTINAL OBSTRUCTION,107
panitumumab,CIRCUMSTANCE OR INFORMATION CAPABLE OF LEADING TO MEDICATION ERROR,105
panitumumab,HAEMOGLOBIN DECREASED,102
panitumumab,HEADACHE,101
panitumumab,NEOPLASM PROGRESSION,99
panitumumab,DIZZINESS,98
panitumumab,ASCITES,97
panitumumab,SKIN LESION,95
panitumumab,TOXICITY TO VARIOUS AGENTS,95
panitumumab,EPISTAXIS,94
panitumumab,PARAESTHESIA,94
panitumumab,RENAL FAILURE,93
panitumumab,ILEUS,88
panitumumab,CHEST PAIN,85
panitumumab,COVID-19,85
panitumumab,RASH MACULO-PAPULAR,80
panitumumab,ATRIAL FIBRILLATION,79
panitumumab,DYSGEUSIA,79
panitumumab,HEPATIC FAILURE,75
panitumumab,THERAPEUTIC PRODUCT EFFECT INCOMPLETE,75
panitumumab,OEDEMA PERIPHERAL,74
panitumumab,DEVICE RELATED INFECTION,73
alectinib,DEATH,578
alectinib,FATIGUE,403
alectinib,CONSTIPATION,314
alectinib,DISEASE PROGRESSION,260
alectinib,OFF LABEL USE,242
alectinib,DYSPNOEA,213
alectinib,RASH,211
alectinib,DRUG INEFFECTIVE,204
alectinib,NO ADVERSE EVENT,194
alectinib,MYALGIA,173
alectinib,NAUSEA,173
alectinib,PNEUMONIA,160
alectinib,WEIGHT INCREASED,144
alectinib,DIARRHOEA,142
alectinib,PERIPHERAL SWELLING,133
alectinib,ASTHENIA,131
alectinib,METASTASES TO CENTRAL NERVOUS SYSTEM,131
alectinib,NEOPLASM PROGRESSION,126
alectinib,ANAEMIA,118
alectinib,OEDEMA PERIPHERAL,108
alectinib,HEADACHE,107
alectinib,PAIN,101
alectinib,OEDEMA,100
alectinib,PLEURAL EFFUSION,98
alectinib,PYREXIA,97
alectinib,DIZZINESS,93
alectinib,COUGH,91
alectinib,COVID-19,90
alectinib,DECREASED APPETITE,88
alectinib,PNEUMONITIS,88
alectinib,VOMITING,88
alectinib,BLOOD CREATINE PHOSPHOKINASE INCREASED,87
alectinib,INTERSTITIAL LUNG DISEASE,86
alectinib,MALIGNANT NEOPLASM PROGRESSION,85
alectinib,BRADYCARDIA,82
alectinib,ARTHRALGIA,77
alectinib,INTENTIONAL PRODUCT USE ISSUE,76
alectinib,BLOOD BILIRUBIN INCREASED,74
alectinib,BLOOD CREATININE INCREASED,74
alectinib,PRURITUS,64
alectinib,HEPATIC FUNCTION ABNORMAL,63
alectinib,ASPARTATE AMINOTRANSFERASE INCREASED,60
alectinib,BACK PAIN,59
alectinib,PULMONARY OEDEMA,59
alectinib,DRUG RESISTANCE,58
alectinib,MUSCULAR WEAKNESS,57
alectinib,DYSPHAGIA,56
alectinib,NEUROPATHY PERIPHERAL,56
alectinib,PERICARDIAL EFFUSION,56
alectinib,FALL,55
alectinib,PAIN IN EXTREMITY,55
alectinib,ALOPECIA,54
alectinib,LIVER DISORDER,54
alectinib,RENAL FAILURE,54
alectinib,HEPATIC ENZYME INCREASED,52
alectinib,PHOTOSENSITIVITY REACTION,51
alectinib,ACUTE KIDNEY INJURY,50
alectinib,HAEMOGLOBIN DECREASED,50
alectinib,RENAL IMPAIRMENT,50
alectinib,ALANINE AMINOTRANSFERASE INCREASED,49
alectinib,HAEMOLYSIS,49
alectinib,HAEMOLYTIC ANAEMIA,49
alectinib,PULMONARY EMBOLISM,49
alectinib,DRUG INTERACTION,48
alectinib,LUNG NEOPLASM MALIGNANT,48
alectinib,NEOPLASM MALIGNANT,48
alectinib,SWELLING,48
alectinib,SEIZURE,47
